City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,Boa Vista,2.8197,-60.6733,28.99,65,75,4.12,BR,1657396833
219,São João da Barra,-21.6403,-41.0511,22.57,80,2,6.1,BR,1657396833
220,Vila Velha,-20.3297,-40.2925,21.08,90,63,4.56,BR,1657396822
221,Muborak,39.2553,65.1528,26.28,21,0,5.63,UZ,1657396833
222,Cherskiy,68.75,161.3,2.81,85,100,6.48,RU,1657396833
223,Pemberton,50.3164,-122.8027,22.05,50,100,1.79,CA,1657396833
224,Būlaevo,54.9056,70.4439,17.49,83,84,3.29,KZ,1657396834
225,Lashio,22.9333,97.75,20.1,99,88,0.07,MM,1657396834
226,Lupiro,-8.3833,36.6667,18.23,66,6,1.88,TZ,1657396834
227,Mehamn,71.0357,27.8492,12.97,76,100,1.03,NO,1657396834
228,Vila Franca do Campo,37.7167,-25.4333,21.22,76,16,4.08,PT,1657396834
229,Fortuna Foothills,32.6578,-114.4119,41.5,9,32,1.79,US,1657396834
230,Macaé,-22.3708,-41.7869,23.86,88,40,5.14,BR,1657396771
231,Talnakh,69.4865,88.3972,8.64,95,100,8.08,RU,1657396835
232,Prince Rupert,54.3161,-130.3201,14.16,92,100,2.46,CA,1657396835
233,Tiksi,71.6872,128.8694,10.9,59,99,4.05,RU,1657396704
234,Paamiut,61.994,-49.6678,4.27,93,100,4.55,GL,1657396835
235,Asifābād,19.3667,79.2833,24.1,95,100,3.95,IN,1657396835
236,Kiryat Gat,31.61,34.7642,25.78,73,0,1.04,IL,1657396835
237,Lincoln,40.8,-96.667,31.82,60,0,1.79,US,1657396795
238,Phuthaditjhaba,-28.5242,28.8158,7.79,45,0,2.84,ZA,1657396836
239,Mackay,-21.15,149.2,8.71,67,0,4.52,AU,1657396836
240,Kumul,42.8,93.45,28.79,14,100,7.35,CN,1657396836
241,Port Alfred,-33.5906,26.891,20.61,34,0,5.71,ZA,1657396837
242,Waddān,29.1614,16.139,28.66,40,0,9.47,LY,1657396837
243,Wellington,-41.2866,174.7756,8.81,82,75,10.29,NZ,1657396837
244,Fare,-16.7,-151.0167,25.35,75,44,7.6,PF,1657396837
245,Eureka,40.8021,-124.1637,26.48,72,27,3.58,US,1657396837
246,Anadyr,64.75,177.4833,8.11,99,100,7.37,RU,1657396818
247,Hobyo,5.3505,48.5268,24.51,78,100,12.33,SO,1657396837
248,Sisimiut,66.9395,-53.6735,6.57,82,100,4.7,GL,1657396838
